site,ENVIRONMENT,SOCIOECONOMIC,CHRONOLOGY,USI,elevation,species,part,sex,age,carbon,oxygen,nitrogen
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_051,,human,,,,-16,,11.75
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_053,,human,,,,-16.3,,12.13
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_054,,human,,,,-15.5,,14.18
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_055,,human,,,,-15.2,,11.09
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_058,,human,,,,-16,,12.03
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_059,,human,,,,-14.5,,12.41
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_062,,human,,,,-14.9,,8.98
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_063,,human,,,,-15,,13.5
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_065,,human,,,,-16.2,,12.08
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_068,,human,,,,-14.4,,13.04
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_070,,human,,,,-16.2,,12.12
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_072,,human,,,,-13.2,,12.43
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_074,,human,,,,-12.9,,17.17
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_075,,human,,,,-16.9,,10.74
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_076,,human,,,,-14.7,,13.55
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_077,,human,,,,-16.5,,12.51
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_079,,human,,,,-15.4,,12.74
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_080,,human,,,,-16,,12.21
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_082,,human,,,,-15.9,,12.28
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_083,,human,,,,-15.8,,12.74
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_086,,human,,,,-16.1,,13.39
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_087,,human,,,,-16.3,,10.69
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_090,,human,,,,-16.8,,12.89
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_092,,human,,,,-15.1,,12.33
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_095,,human,,,,-15.2,,13.31
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_098,,human,,,,-13.8,,13.18
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_099,,human,,,,-15.8,,11.75
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_109,,human,,,,-17,,9.01
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_077B,,human,,,,-14,,12.61
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_077A,,human,,,,-14.8,,13.49
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_F78,,human,,,,-16.5,,11.34
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_148,,human,,,,-15.1,,12.5
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_155,,human,,,,-13.5,,11.86
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_156,,human,,,,-15.7,,11.37
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_157,,human,,,,-16.4,,10.61
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_082,,human,,,,-16.83,,13.72
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_158,,human,,,,-15.2,,8.77
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_118,,human,,,,-14.2,,13.4
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_120,,human,,,,-13,,13.6
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_123,,human,,,,-12.7,,12.4
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_128,,human,,,,-13.9,,11.1
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_132,,human,,,,-12.6,,13.1
Kainarbulak-2,F - DESERT OASES,,IRON AGE,GM_130,,human,,,,-10.5,,10.4
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_116,,human,,,,-11.2,,12.9
Kainarbulak-2,F - DESERT OASES,,IRON AGE,GM_135,,human,,,,-10.9,,11.7
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_125B,,human,,,,-11.1,,10.51
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_115,,human,,,,-11.86,,13.7
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_125A,,human,,,,-11.79,,10.39
Kainarbulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_126,,human,,,,-13.1,,11.47
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_127,,human,,,,-14.52,,11.97
Kainarbulak-2,F - DESERT OASES,,IRON AGE,GM_129,,human,,,,-13,,10.1
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_117,,human,,,,-12.68,,12.03
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_119,,human,,,,-11.28,,12.54
Kainarbulak-1,F - DESERT OASES,,IRON AGE,GM_121,,human,,,,-15.39,,14.72
Kargaly-I,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_046,,human,,,,-13.56,,12.36
Kargaly-I,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_047,,human,,,,-15.47,,12.45
Kargaly-I,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_044,,human,,,,-14.16,,10.35
Kargaly-I,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_045,,human,,,,15.01,,11.99
